iter	Passed	Remaining
1479	12583	170
1480	12611	161
1481	12653	153
1482	12681	145
1483	12710	137
1484	12783	129
1485	12812	120
1486	12829	112
1487	12846	103
1488	12862	95
1489	12877	86
1490	12892	77
1491	12907	69
1492	12922	60
1493	12941	51
1494	12961	43
1495	12978	34
1496	12996	26
1497	13015	17
1498	13033	8
1499	13050	0
